                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.54995,                0.36488,                 0.8203,                0.97053,                 0.9742,                0.98682,                0.85978,                0.53748,                 0.3435,                0.80995,              0.0005248,              0.0005248,              0.0005248
                     50,                0.55803,                0.36987,                0.82989,                0.97385,                0.96822,                0.98786,                0.85818,                0.53377,                0.33017,                0.81024,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.5388,                0.36583,                0.82308,                0.97274,                 0.9677,                0.98891,                0.85633,                0.54804,                0.32954,                0.81181,               0.000505,               0.000505,               0.000505
                     52,                0.56268,                 0.3759,                 0.8249,                0.97769,                0.96486,                0.98852,                  0.853,                0.55856,                 0.3405,                0.81294,              0.0004951,              0.0004951,              0.0004951
                     53,                0.55216,                0.37175,                0.82216,                0.96478,                 0.9767,                0.98781,                0.85949,                0.53706,                0.33899,                0.80997,              0.0004852,              0.0004852,              0.0004852
                     54,                0.55731,                0.36652,                0.82245,                0.96599,                0.97509,                0.98806,                0.85628,                0.53864,                0.32798,                0.81028,              0.0004753,              0.0004753,              0.0004753
                     55,                0.55879,                0.36921,                0.82096,                0.96802,                0.96962,                0.98888,                0.85181,                0.54768,                0.33369,                0.81167,              0.0004654,              0.0004654,              0.0004654
                     56,                0.54939,                0.36519,                0.82059,                0.96591,                0.97843,                0.98778,                0.86454,                0.52738,                0.32982,                0.80947,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.5466,                0.36499,                0.82352,                0.97171,                0.97646,                0.98687,                0.85424,                0.54767,                0.33786,                0.81296,              0.0004456,              0.0004456,              0.0004456
                     58,                0.53274,                0.35578,                0.81971,                0.96921,                0.97177,                0.98665,                0.85713,                0.53006,                0.32953,                0.80953,              0.0004357,              0.0004357,              0.0004357
                     59,                0.54472,                0.35714,                  0.823,                0.97813,                0.96887,                0.98812,                0.85416,                0.53542,                0.32726,                0.80994,              0.0004258,              0.0004258,              0.0004258
                     60,                0.54191,                0.35722,                0.82385,                0.97381,                0.96838,                0.98724,                0.85935,                0.53376,                0.32633,                0.80896,              0.0004159,              0.0004159,              0.0004159
                     61,                0.54698,                0.35495,                0.82044,                0.97201,                0.96705,                0.98913,                0.85415,                0.52938,                0.32907,                0.80975,               0.000406,               0.000406,               0.000406
                     62,                0.54607,                0.35563,                0.81971,                0.97469,                0.97048,                0.98869,                0.86133,                0.54101,                0.32572,                0.81072,              0.0003961,              0.0003961,              0.0003961
                     63,                0.52677,                0.34716,                 0.8216,                 0.9733,                0.97466,                0.98967,                0.86171,                0.52426,                0.31901,                0.80841,              0.0003862,              0.0003862,              0.0003862
                     64,                0.53096,                0.34083,                0.81817,                0.97981,                0.96645,                0.98923,                0.85708,                0.53209,                0.31902,                0.80984,              0.0003763,              0.0003763,              0.0003763
                     65,                0.53589,                0.34683,                0.81819,                0.97859,                0.97286,                 0.9898,                0.86022,                0.52493,                0.31857,                 0.8087,              0.0003664,              0.0003664,              0.0003664
                     66,                0.52899,                0.34319,                0.81759,                0.97794,                0.97149,                0.99051,                0.85992,                0.51866,                0.31444,                0.80712,              0.0003565,              0.0003565,              0.0003565
                     67,                0.53973,                0.34495,                0.81943,                0.97962,                0.97106,                0.98902,                0.86258,                0.52507,                0.31638,                0.80759,              0.0003466,              0.0003466,              0.0003466
                     68,                0.51453,                0.33414,                0.81573,                0.97686,                0.97436,                 0.9885,                0.85845,                0.53609,                0.31693,                0.81003,              0.0003367,              0.0003367,              0.0003367
                     69,                0.52866,                0.34197,                 0.8173,                0.97454,                0.97105,                0.98926,                0.86056,                0.52846,                0.31974,                 0.8087,              0.0003268,              0.0003268,              0.0003268
                     70,                0.52988,                0.33743,                0.81696,                0.97298,                0.97395,                0.98911,                0.86331,                0.52257,                 0.3167,                0.80827,              0.0003169,              0.0003169,              0.0003169
                     71,                0.52571,                0.33863,                0.82188,                0.97271,                0.97677,                 0.9881,                0.85671,                0.53065,                0.31648,                0.80898,               0.000307,               0.000307,               0.000307
                     72,                0.51785,                0.33477,                0.81665,                 0.9682,                0.97977,                0.98769,                0.86314,                0.52416,                0.31169,                0.80744,              0.0002971,              0.0002971,              0.0002971
                     73,                0.53005,                 0.3392,                0.81799,                0.97432,                0.97454,                0.98865,                0.85954,                0.52596,                0.31641,                0.80793,              0.0002872,              0.0002872,              0.0002872
                     74,                0.51615,                0.33218,                0.81336,                0.97434,                0.96964,                0.98893,                0.86118,                 0.5216,                0.31257,                0.80777,              0.0002773,              0.0002773,              0.0002773
                     75,                0.51407,                0.33228,                0.81224,                0.97779,                0.96521,                0.98808,                0.86422,                0.52355,                 0.3106,                0.80764,              0.0002674,              0.0002674,              0.0002674
                     76,                0.51888,                  0.332,                0.81616,                0.97965,                 0.9677,                 0.9881,                0.86038,                0.52913,                0.31416,                 0.8089,              0.0002575,              0.0002575,              0.0002575
                     77,                0.51104,                 0.3308,                0.81881,                0.97448,                0.97085,                0.98812,                0.86157,                 0.5233,                0.31786,                0.80775,              0.0002476,              0.0002476,              0.0002476
                     78,                0.50688,                0.32976,                0.81349,                0.97305,                0.97247,                0.98916,                0.86343,                0.52729,                0.31083,                0.80865,              0.0002377,              0.0002377,              0.0002377
                     79,                0.51259,                0.33035,                0.81223,                 0.9837,                0.96371,                0.98867,                0.86016,                 0.5301,                0.31435,                0.80959,              0.0002278,              0.0002278,              0.0002278
                     80,                0.50178,                0.32389,                 0.8181,                0.96932,                0.97499,                 0.9887,                0.86445,                0.52509,                0.31368,                0.80776,              0.0002179,              0.0002179,              0.0002179
                     81,                0.51148,                0.32602,                0.81522,                0.97225,                0.97292,                0.98844,                0.86418,                0.52382,                0.30818,                0.80837,               0.000208,               0.000208,               0.000208
                     82,                0.51132,                0.32236,                0.81743,                0.97255,                0.97816,                0.98816,                0.86381,                0.52417,                0.30698,                0.80803,              0.0001981,              0.0001981,              0.0001981
                     83,                0.50559,                0.32023,                0.81295,                 0.9716,                0.97957,                0.98838,                0.86627,                0.52373,                0.30867,                0.80829,              0.0001882,              0.0001882,              0.0001882
                     84,                0.50527,                0.32108,                0.81334,                0.96625,                0.98057,                0.98752,                 0.8624,                0.52427,                0.30526,                0.80834,              0.0001783,              0.0001783,              0.0001783
                     85,                0.49934,                0.31167,                0.81541,                0.97017,                0.97541,                0.98753,                0.86629,                0.51579,                0.30656,                0.80768,              0.0001684,              0.0001684,              0.0001684
                     86,                0.50013,                0.31814,                  0.811,                0.97285,                0.97131,                 0.9886,                0.86288,                0.51983,                0.30897,                0.80748,              0.0001585,              0.0001585,              0.0001585
                     87,                0.49509,                0.31041,                0.81177,                 0.9822,                0.96473,                0.98771,                0.86554,                0.51681,                 0.3092,                0.80713,              0.0001486,              0.0001486,              0.0001486
                     88,                0.49038,                0.31211,                0.81277,                0.96639,                0.98304,                0.98758,                0.86605,                0.51322,                 0.3028,                0.80598,              0.0001387,              0.0001387,              0.0001387
                     89,                0.49656,                0.30916,                0.80991,                0.97356,                0.97669,                 0.9883,                0.86605,                0.51552,                0.30055,                0.80609,              0.0001288,              0.0001288,              0.0001288
                     90,                0.48951,                0.30139,                0.80637,                 0.9713,                0.97274,                0.98713,                0.86408,                0.52485,                0.30958,                 0.8081,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.4856,                0.29633,                0.81007,                 0.9796,                0.96788,                0.98738,                0.85854,                0.52372,                0.30886,                0.80792,               0.000109,               0.000109,               0.000109
                     92,                0.48575,                0.29273,                0.80756,                0.98243,                0.97035,                0.98885,                0.86249,                0.52316,                0.30393,                0.80856,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.47855,                0.28938,                0.81178,                0.98206,                0.97072,                 0.9883,                0.86093,                0.52306,                0.30404,                0.80856,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.47876,                0.29213,                0.80631,                0.98123,                0.97139,                0.98865,                0.86302,                0.52433,                0.30447,                0.80847,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 0.4741,                0.28874,                0.80083,                0.97048,                0.97932,                0.98924,                0.86611,                0.52119,                0.30332,                0.80865,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.46676,                0.28444,                0.80268,                0.97899,                0.96953,                0.98913,                0.86249,                0.52451,                0.30103,                0.80863,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.47005,                0.28334,                 0.8065,                0.98393,                0.96958,                  0.989,                0.86475,                0.52154,                0.29923,                0.80815,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.46945,                0.28396,                0.79968,                 0.9842,                0.96667,                 0.9894,                0.86611,                0.52104,                0.29652,                0.80826,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.46418,                0.27901,                0.80002,                0.98443,                0.96854,                0.98923,                0.86603,                0.52353,                0.29635,                0.80815,               2.98e-05,               2.98e-05,               2.98e-05
